종목코드,종목명,현재가(원),거래량,1개월,3개월,1년,상대강도
367760,RISE 네트워크인프라,58905,125238,0.029088050314465486,-0.3385548256695301,2.7058823529411766,99
0005G0,IBK K-AI반도체코어테크,51465,11973,0.04222357229647633,-0.28351663650285397,2.3909863609408974,99
442580,PLUS 글로벌HBM반도체,101235,876912,-0.022828185328185313,-0.31597972972972976,2.7252989880404783,99
395270,HANARO Fn K-반도체,57375,950732,0.004552219206863439,-0.35173154059092704,2.802186878727634,99
469790,KIWOOM 코리아테크TOP10,42755,1932,-0.013497923396400546,-0.2827906664653683,1.9174343227567383,98
474590,WON 반도체밸류체인액티브,45630,41913,0.06661991584852744,-0.25822970007315293,2.1545108883511928,98
494220,UNICORN SK하이닉스밸류체인액티브,48790,73817,0.0839813374805598,-0.2979856115107914,2.047470331043098,98
266370,KODEX IT,68355,18247,0.020376175548589393,-0.3103465671190032,2.074898785425101,98
469150,ACE AI반도체TOP3+,59950,150066,0.03764604067503252,-0.2917897223862965,2.1330023517115233,98
139260,TIGER 200 IT,137380,206874,0.00497439648866127,-0.3491012119661522,2.4920312142548484,98
494330,ACE 라이프자산주주가치액티브,32565,23753,-0.00655887736424654,-0.10392933795608383,1.3879885605338416,97
487750,BNK 온디바이스AI,31870,1798,0.06856663872590119,-0.2838202247191012,1.956400742115028,97
471780,TIGER 코리아테크액티브,36605,121615,0.06564774381368266,-0.27942913385826773,1.6984887578326577,97
395160,KODEX AI반도체TOP2플러스,40220,3365086,-0.0016135037855281587,-0.36158730158730157,2.0354716981132075,97
091230,TIGER 반도체,138165,111628,0.03108208955223879,-0.29617177351570256,1.8116605616605614,97
091160,KODEX 반도체,130545,1156705,0.0273875575492859,-0.3068836443760121,1.7687168610816544,97
298770,KODEX 한국대만IT프리미어,82940,11590,0.020486004306367267,-0.20440483841571622,1.479744072712052,96
337160,KODEX 200ESG,48115,5480,-0.01028489149439471,-0.2645440371740393,1.5638088133425696,96
290130,RISE ESG사회책임투자,48050,40687,0.003969912244045082,-0.27722623345367026,1.6724137931034484,96
367740,HANARO Fn5G산업,42575,220,0.015988545519627806,-0.19005041377342335,1.5612103711724719,96
289250,TIGER MSCI KOREA ESG유니버설,35005,9819,0.005313038483630184,-0.2428404568264405,1.5080604714480188,96
360140,KODEX 200롱코스닥150숏선물,22925,5707,-0.01799100449775115,-0.10693416439423453,1.1105689559933714,96
446690,KODEX 아시아AI반도체exChina액티브,59690,1419,0.008021616144557875,-0.33175106075702787,1.6699767400250494,96
275300,KODEX 우량주,30065,10434,-0.014100672241351031,-0.2704617699157992,1.483274138927893,95
122090,PLUS 코스피50,82430,21102,-0.004588817775630916,-0.28733843427138717,1.4919886329282304,95
486240,DAISHIN AI반도체&인프라액티브,29200,658,0.034360609280906784,-0.25538696927196225,1.536924413553432,95
289040,KODEX MSCI KOREA ESG유니버설,33930,30,0.016172506738544534,-0.23136171080352486,1.437675120339105,95
292150,TIGER 코리아TOP10,38420,479385,-0.005049851094134361,-0.26135271273118776,1.543697033898305,95
275290,KODEX 가치주,34735,5497,0.00506365740740744,-0.23101616116891743,1.4572014714204866,95
495050,RISE 코리아밸류업,32400,51240,0.0003087372645877995,-0.23291822529475825,1.3479962316109861,94
496120,ACE 코리아밸류업,33475,546,-0.00044789489399821303,-0.22432570210399483,1.3869794637763833,94
138520,TIGER 삼성그룹,35840,9459,-0.036947467419051416,-0.21678321678321677,1.3231995851429312,94
0101N0,RISE AI전력인프라,21615,688004,0.19123725544227055,-0.01749999999999996,1.1701807228915664,94
423170,SOL 글로벌AI반도체탑픽액티브,58415,10206,0.004902804059865762,-0.26056962025316455,1.361633313119062,94
156080,KODEX MSCI Korea,52005,6715,-0.013000569368001536,-0.26459358561004587,1.4000830718109656,94
140950,파워 코스피100,85995,1760,-0.005378209576682891,-0.26717967072297777,1.3695304750358206,93
495750,HANARO 코리아밸류업,32045,87,-0.007587488386497365,-0.23282259995211874,1.3215967543287692,93
289260,TIGER MSCI KOREA ESG리더스,29035,475,0.020383060973466982,-0.23862593418119837,1.3379499154521297,93
496090,KIWOOM 코리아밸류업,32095,162,-0.0004671441918405739,-0.238317867907065,1.3274111675126905,93
496080,TIGER 코리아밸류업,32200,176343,-0.0027563566539688944,-0.2302175472149175,1.322729567914593,93
488210,KIWOOM K-반도체북미공급망,25220,4045,0.17057321884427945,-0.17381903950730526,1.2387927208166887,93
